,filename,mainSound,length,sampleRate,quality,isCut,isMixed,isChecked,threat,salience,importance
148,2-103428-A-3,animal,5.0,44100,7,1,0,1,2,5,0
149,62564-5-0-6,exterior,4.0,44100,7,1,0,0,0,4,0
150,165166-8-0-7,siren,4.0,44100,7,1,0,0,8,9,9
151,1-17092-A-27,human,5.0,44100,7,1,0,1,0,5,0
152,55013-3-0-4,animal,4.0,44100,7,1,0,0,4,5,4
153,123688-8-0-14,siren,4.0,44100,7,1,0,0,8,9,9
154,50413-4-0-0,exterior,4.0,48000,7,1,0,0,0,6,0
155,2-109231-A-9,animal,5.0,44100,7,1,0,1,0,4,0
156,157866-8-0-20,siren,4.0,44100,7,1,0,0,8,9,9
157,209672-3-0-0,animal,1.52,44100,7,1,0,0,4,5,4
158,157867-8-0-9,siren,4.0,44100,7,1,0,0,8,9,9
159,121285-0-0-2,interior,4.0,48000,7,1,0,0,2,5,0
160,22601-8-0-48,siren,4.0,48000,7,1,0,0,8,9,9
161,22601-8-0-13,siren,4.0,48000,7,1,0,0,8,9,9
162,142003-2-0-20,human,4.0,48000,7,1,0,0,0,5,0
163,24347-8-0-71,siren,4.0,48000,7,1,0,0,8,9,9
164,105029-7-3-6,exterior,4.0,44100,7,1,0,0,2,8,0
165,116483-3-0-2,animal,4.0,44100,7,1,0,0,4,5,4
166,5-251426-B-30,interior,5.0,44100,7,1,0,0,0,7,0
167,157866-8-0-24,siren,4.0,44100,7,1,0,0,8,9,9
168,4-163606-A-16,natural,5.0,44100,7,1,0,0,2,3,2
169,0H8ahMvFHjs_170,exterior,10.0000625,16000,3,0,1,1,0,3,0
170,174032-2-0-26,human,4.0,48000,7,1,0,0,0,5,0
171,134717-0-0-12,interior,4.0,44100,7,1,0,0,2,5,0
172,0iKyruMo1JA_90,siren,10.0,16000,3,0,1,1,8,9,9
173,77901-9-0-7,exterior,4.0,44100,7,1,0,0,0,5,0
174,74507-0-0-10,interior,4.0,44100,7,1,0,0,2,5,0
175,196077-2-0-1,human,4.0,44100,7,1,0,0,0,5,0
176,5-253085-B-3,animal,5.0,44100,7,1,0,0,2,5,0
177,FxRGRQTiYD8_260,siren,10.0,16000,3,0,1,1,6,9,9
178,157867-8-0-19,siren,4.0,44100,7,1,0,0,8,9,9
179,71312-3-0-5,animal,4.0,44100,7,1,0,0,4,5,4
180,189825-9-0-0,exterior,4.0,44100,7,1,0,0,0,5,0
181,0_uk5tWTU0k_30,siren,10.0,16000,3,0,1,1,8,9,9
182,5-244459-A-28,interior,5.0,44100,7,1,0,0,0,7,0
183,196384-9-0-11,exterior,4.0,44100,7,1,0,0,0,5,0
184,187110-2-0-6,human,4.0,44100,7,1,0,0,0,5,0
185,74507-0-0-3,interior,4.0,44100,7,1,0,0,2,5,0
186,EB4nlpvvIqc_30,siren,10.0,16000,3,0,1,1,6,9,9
187,4-167571-A-26,human,5.0,44100,7,1,0,0,0,5,0
188,84699-4-5-0,exterior,1.53,44100,7,1,0,0,0,6,0
189,102853-8-0-0,siren,4.0,44100,7,1,0,0,8,9,9
190,4-202298-A-31,interior,5.0,44100,7,1,0,0,0,7,0
191,3-257858-A-2,animal,5.0,44100,7,1,0,1,0,7,0
192,28426-8-2-0,siren,3.617641723356009,44100,7,1,0,0,8,9,9
193,-HfqvSo8xpA_30,siren,10.0,16000,3,0,1,1,7,7,8
194,0BEtPXdDQrs_250,siren,10.0,16000,3,0,1,1,6,9,9
195,117048-3-0-23,animal,4.0,44100,7,1,0,0,4,5,4
196,165645-4-1-0,exterior,0.8770975056689342,44100,7,1,0,0,0,6,0
197,69962-2-0-20,human,4.0,44100,7,1,0,0,0,5,0
198,4-125071-A-19,natural,5.0,44100,7,1,0,1,0,1,0
199,4-164206-A-10,natural,5.0,44100,7,1,0,0,2,3,2
200,57320-0-0-37,interior,4.0,44100,7,1,0,0,2,5,0
201,-I20lsJHMl4_21,siren,9.7628125,16000,3,0,1,1,3,6,4
202,42117-8-0-6,siren,4.0,44100,7,1,0,0,8,9,9
203,31323-3-0-1,animal,4.0,44100,7,1,0,0,4,5,4
204,34621-4-17-0,exterior,0.8363945578231292,44100,7,1,0,0,0,6,0
205,55018-0-0-92,interior,4.0,44100,7,1,0,0,2,5,0
206,5-261439-A-15,natural,5.0,44100,7,1,0,0,2,3,2
207,3-162786-A-13,natural,5.0,44100,7,1,0,1,0,3,0
208,88569-2-0-14,human,4.0,44100,7,1,0,0,0,5,0
209,0IPF2trqbJQ_14,siren,9.193125,16000,3,0,1,1,8,9,9
210,4-172742-A-32,interior,5.0,44100,7,1,0,0,0,7,0
211,157867-8-0-18,siren,4.0,44100,7,1,0,0,8,9,9
212,24347-8-0-7,siren,4.0,48000,7,1,0,0,8,9,9
213,40717-8-0-2,siren,4.0,44100,7,1,0,0,8,9,9
214,118961-3-0-0,animal,0.77,48000,7,1,0,0,4,5,4
215,-8K_V4VdkfM_20,siren,10.0,16000,3,0,1,1,9,9,9
216,16860-9-0-28,exterior,4.0,44100,7,1,0,0,0,5,0
217,2-127108-A-38,interior,5.0,44100,7,1,0,1,0,3,0
218,72265-3-5-0,animal,3.0965986394557823,44100,7,1,0,0,4,5,4
219,1-21935-A-38,interior,5.0,44100,7,1,0,1,0,7,0
220,182103-9-0-8,exterior,4.0,44100,7,1,0,0,0,5,0
221,118279-8-0-5,siren,4.0,48000,7,1,0,0,8,9,9
222,86284-3-0-0,animal,4.0,44100,7,1,0,0,4,5,4
223,2-91912-B-33,interior,5.0,44100,7,1,0,1,0,6,0
224,FRpa8M_jNgA_230,siren,10.0,16000,3,0,1,1,6,9,9
225,5-194932-A-7,animal,5.0,44100,7,1,0,0,2,5,0
226,59594-4-0-0,exterior,4.0,44100,7,1,0,0,0,6,0
227,4-167063-B-11,natural,5.0,44100,7,1,0,0,2,3,2
228,08pTDgI15os_60,siren,10.0,16000,3,0,1,1,8,9,9
229,4-160036-B-33,interior,5.0,44100,7,1,0,0,0,7,0
230,5-185908-A-18,natural,5.0,44100,7,1,0,0,2,3,2
231,1-47714-A-16,natural,5.0,44100,7,1,0,1,6,6,6
232,3-51909-B-42,siren,5.0,44100,7,1,0,1,8,9,9
233,62564-5-0-9,exterior,4.0,44100,7,1,0,0,0,4,0
234,49312-2-0-10,human,4.0,44100,7,1,0,0,0,5,0
235,75743-0-0-13,interior,4.0,44100,7,1,0,0,2,5,0
236,4-187769-B-14,natural,5.0,44100,7,1,0,0,2,3,2
237,31884-7-0-1,exterior,4.0,44100,7,1,0,0,2,8,0
238,157866-8-0-5,siren,4.0,44100,7,1,0,0,8,9,9
239,4-144083-A-16,natural,5.0,44100,7,1,0,0,2,3,2
240,2-114609-A-28,animal,5.0,44100,7,1,0,1,0,4,0
241,142003-2-0-21,human,4.0,48000,7,1,0,0,0,5,0
242,34050-7-5-0,exterior,2.2,44100,7,1,0,0,2,8,0
243,75743-0-0-7,interior,4.0,44100,7,1,0,0,2,5,0
244,157867-8-0-15,siren,4.0,44100,7,1,0,0,8,9,9
245,29936-3-3-0,animal,2.08,44100,7,1,0,0,4,5,4
246,1-11687-A-47,exterior,5.0,44100,7,1,0,1,2,5,5
247,94636-8-0-12,siren,4.0,44100,7,1,0,0,8,9,9
248,157868-8-0-18,siren,4.0,44100,7,1,0,0,8,9,9
249,1-36164-A-26,human,5.0,44100,7,1,0,1,0,5,0
250,5-117773-A-16,natural,5.0,44100,7,1,0,0,2,3,2
251,203913-8-0-7,siren,4.0,44100,7,1,0,0,8,9,9
252,104998-7-11-2,exterior,4.0,44100,7,1,0,0,2,8,0
253,5-156999-C-19,natural,5.0,44100,7,1,0,0,2,3,2
254,09ullHbByoo_30,siren,10.0,16000,3,0,1,1,8,9,9
255,57696-4-0-5,exterior,4.0,44100,7,1,0,0,0,6,0
256,22601-8-0-27,siren,4.0,48000,7,1,0,0,8,9,9
257,60591-2-0-11,human,4.0,44100,7,1,0,0,0,5,0
258,31325-3-4-0,animal,4.0,44100,7,1,0,0,4,5,4
259,94631-9-0-16,exterior,4.0,44100,7,1,0,0,0,5,0
260,156869-8-0-5,siren,4.0,44100,7,1,0,0,8,9,9
261,191382-3-0-0,animal,4.0,44100,7,1,0,0,4,5,4
262,4EbnQaqBUnw_30,siren,10.0,16000,3,0,1,1,6,9,9
263,5-254832-B-15,natural,5.0,44100,7,1,0,0,2,3,2
264,157866-8-0-25,siren,4.0,44100,7,1,0,0,8,9,9
265,30204-0-0-0,interior,4.0,44100,7,1,0,0,2,5,0
266,173994-3-0-45,animal,4.0,96000,7,1,0,0,4,5,4
267,5-103420-A-2,animal,5.0,44100,7,1,0,0,2,5,0
268,0M61TBV_iM0_10,siren,10.0,16000,3,0,1,1,8,9,9
269,118440-4-2-0,exterior,0.78,44100,7,1,0,0,0,6,0
270,3-151212-A-24,human,5.0,44100,7,1,0,1,0,5,0
271,83502-0-0-1,interior,4.0,44100,7,1,0,0,2,5,0
272,5-219379-C-11,natural,5.0,44100,7,1,0,0,2,3,2
273,2-39945-C-19,natural,5.0,44100,7,1,0,1,6,9,7
274,75743-0-0-19,interior,4.0,44100,7,1,0,0,2,5,0
275,14111-4-0-1,exterior,4.0,44100,7,1,0,0,0,6,0
276,2macpFUgV7g_70,siren,10.0,16000,3,0,1,1,6,9,9
277,88121-8-0-1,siren,4.0,48000,7,1,0,0,8,9,9
278,5-207681-A-24,human,5.0,44100,7,1,0,0,0,5,0
279,173993-3-0-39,animal,4.0,96000,7,1,0,0,4,5,4
280,4-161579-A-40,exterior,5.0,44100,7,1,0,0,2,5,5
281,1-137-A-32,interior,5.0,44100,7,1,0,1,0,7,0
282,-6iVBmb5PZU_60,siren,10.0,16000,3,0,1,1,8,7,8
283,188004-8-0-2,siren,4.0,44100,7,1,0,0,8,9,9
284,24347-8-0-9,siren,4.0,48000,7,1,0,0,8,9,9
285,151005-4-0-3,exterior,4.0,44100,7,1,0,0,0,6,0
286,4-194246-A-13,natural,5.0,44100,7,1,0,0,2,3,2
287,44831-3-2-0,animal,1.45,44100,7,1,0,0,4,5,4
288,3-151273-A-35,interior,5.0,44100,7,1,0,1,0,7,0
289,196082-2-0-0,human,3.3153968253968253,44100,7,1,0,0,0,5,0
290,22601-8-0-44,siren,4.0,48000,7,1,0,0,8,9,9
291,5-216216-A-13,natural,5.0,44100,7,1,0,0,2,3,2
292,157950-3-0-0,animal,1.41,44100,7,1,0,0,4,5,4
293,13230-0-0-9,interior,4.0,44100,7,1,0,0,2,5,0
294,76086-4-0-43,exterior,4.0,44100,7,1,0,0,0,6,0
295,4-188003-A-34,interior,5.0,44100,7,1,0,0,0,7,0
296,180057-9-0-20,exterior,4.0,44100,7,1,0,0,0,5,0
297,4-182613-B-11,natural,5.0,44100,7,1,0,0,2,3,2
298,5-208810-B-11,natural,5.0,44100,7,1,0,0,2,3,2
299,102871-8-0-8,siren,4.0,44100,7,1,0,0,8,9,9
300,72579-3-0-0,animal,4.0,44100,7,1,0,0,4,5,4
301,106486-5-0-0,exterior,4.0,44100,7,1,0,0,0,4,0
302,5-208810-A-11,natural,5.0,44100,7,1,0,0,2,3,2
303,-j8EeIX9ynk_40,siren,10.0,16000,3,0,1,1,8,9,9
304,2kQlGqmppZo_0,siren,9.993,16000,3,0,1,1,8,9,9
305,123688-8-0-13,siren,4.0,44100,7,1,0,0,8,9,9
306,-9Tvm67kojg_30,siren,10.0,16000,3,0,1,1,6,9,8
307,2-117795-A-3,animal,5.0,44100,7,1,0,1,0,5,0
308,39857-5-1-0,exterior,4.0,44100,7,1,0,0,0,4,0
309,22601-8-0-39,siren,4.0,48000,7,1,0,0,8,9,9
310,24347-8-0-64,siren,4.0,48000,7,1,0,0,8,9,9
311,105289-8-2-7,siren,4.0,44100,7,1,0,0,8,9,9
312,3-144891-A-19,natural,5.0,44100,7,1,0,1,2,3,5
313,74364-8-1-3,siren,4.0,44100,7,1,0,0,8,9,9
314,186334-2-0-11,human,4.0,44100,7,1,0,0,0,5,0
315,74507-0-0-17,interior,4.0,44100,7,1,0,0,2,5,0
316,-dSv70aIg_g_80,siren,10.0,16000,3,0,1,1,9,9,9
317,164797-2-0-44,human,4.0,48000,7,1,0,0,0,5,0
318,105029-7-1-5,exterior,4.0,44100,7,1,0,0,2,8,0
319,-72pUaj4jLE_10,siren,10.0,16000,3,0,1,1,5,7,7
320,-pvaJ4DwtRg_3,siren,9.3378125,16000,3,0,1,1,8,9,9
321,93567-8-0-6,siren,4.0,44100,7,1,0,0,8,9,9
322,29u1uZX_NdU_20,siren,10.0,16000,3,0,1,1,8,9,9
323,1-56269-A-18,natural,5.0,44100,7,1,0,1,0,3,0
324,74364-8-1-14,siren,4.0,44100,7,1,0,0,8,9,9
325,51024-3-0-16,animal,4.0,44100,7,1,0,0,4,5,4
326,22883-7-47-2,exterior,4.0,48000,7,1,0,0,2,8,0
327,0R9xLmfL2ho_10,siren,10.0,16000,3,0,1,1,8,9,9
328,1-80840-A-13,natural,5.0,44100,7,1,0,1,0,3,0
329,3-124376-A-3,animal,5.0,44100,7,1,0,1,0,6,0
330,29722-4-0-5,exterior,4.0,22050,7,1,0,0,0,6,0
331,151977-0-0-0,interior,4.0,48000,7,1,0,0,2,5,0
332,24347-8-0-72,siren,4.0,48000,7,1,0,0,8,9,9
333,196064-2-0-0,human,1.24,44100,7,1,0,0,0,5,0
334,-6qp8NjWffE_70,siren,10.0,16000,3,0,1,1,7,8,9
335,71177-8-2-0,siren,4.0,44100,7,1,0,0,8,9,9
336,1-76831-A-42,siren,5.0,44100,7,1,0,1,8,9,9
337,03BwHcWTmCM_30,siren,10.0,16000,3,0,1,1,8,9,9
338,-122tCXtFhU_30,siren,10.0,16000,3,0,1,1,9,9,9
339,Dd5F9fn46gI_360,siren,10.0,16000,3,0,1,1,6,9,9
340,4-132383-B-2,animal,5.0,44100,7,1,0,1,2,5,0
341,157868-8-0-27,siren,4.0,44100,7,1,0,0,8,9,9
342,5-203739-A-10,natural,5.0,44100,7,1,0,0,2,3,2
343,102853-8-0-4,siren,4.0,44100,7,1,0,0,8,9,9
344,74850-9-0-18,exterior,4.0,44100,7,1,0,0,0,5,0
345,4Y5bkGtsKhQ_370,siren,10.0,16000,3,0,1,1,6,9,9
346,4-180337-A-28,interior,5.0,44100,7,1,0,0,0,7,0
347,71177-8-1-0,siren,4.0,44100,7,1,0,0,8,9,9
348,55018-0-0-209,interior,4.0,44100,7,1,0,0,2,5,0
349,102547-3-0-7,animal,4.0,48000,7,1,0,0,4,5,4
350,1-21421-A-46,exterior,5.0,44100,7,1,0,1,0,5,0
351,107357-8-0-7,siren,4.0,44100,7,1,0,0,8,9,9
352,164782-8-0-1,siren,4.0,48000,7,1,0,0,8,9,9
353,75743-0-0-18,interior,4.0,44100,7,1,0,0,2,5,0
354,26184-5-3-0,exterior,2.5987301587301586,44100,7,1,0,0,0,4,0
355,20015-3-0-4,animal,4.0,44100,7,1,0,0,4,5,4
356,46669-4-0-10,exterior,4.0,48000,7,1,0,0,0,6,0
357,152588-3-0-0,animal,2.4181041666666667,48000,7,1,0,0,4,5,4
358,-u8XTnRF0pE_70,siren,10.0,16000,3,0,1,1,8,9,9
359,121285-0-0-3,interior,4.0,48000,7,1,0,0,2,5,0
360,4-251959-A-47,exterior,5.0,44100,7,1,0,0,2,5,5
361,121286-0-0-10,interior,4.0,48000,7,1,0,0,2,5,0
362,24347-8-0-34,siren,4.0,48000,7,1,0,0,8,9,9
363,1-63679-A-24,human,5.0,44100,7,1,0,1,0,5,0
364,115239-9-0-0,exterior,4.0,44100,7,1,0,0,0,5,0
365,-gH51mNUogA_10,siren,10.0,16000,2,0,1,1,8,9,9
366,0ljiRkYawcM_30,siren,10.0,16000,3,0,1,1,8,9,9
367,94636-8-0-15,siren,4.0,44100,7,1,0,0,8,9,9
368,1-36393-A-23,human,5.0,44100,7,1,0,1,0,5,0
369,GOtmAPjCWRA_30,siren,10.0,16000,3,0,1,1,6,9,9
370,1-61221-A-17,natural,5.0,44100,7,1,0,1,0,3,0
371,-R1kNV61yP0_30,siren,10.0,16000,3,0,1,1,6,8,7
372,71177-8-0-1,siren,4.0,44100,7,1,0,0,8,9,9
373,196085-2-0-3,human,4.0,44100,7,1,0,0,0,5,0
374,167701-4-6-1,exterior,4.0,44100,7,1,0,0,0,6,0
375,101415-3-0-8,animal,4.0,48000,7,1,0,0,4,5,4
376,0ML3norRr8o_10,siren,10.0,16000,3,0,1,1,8,9,9
377,186339-9-0-17,exterior,4.0,44100,7,1,0,0,0,5,0
378,123688-8-0-1,siren,4.0,44100,7,1,0,0,8,9,9
379,2-106019-A-13,natural,5.0,44100,7,1,0,1,0,3,0
380,95549-3-0-7,animal,4.0,44100,7,1,0,0,4,5,4
381,104998-7-15-5,exterior,4.0,44100,7,1,0,0,2,8,0
382,75490-8-0-0,siren,4.0,44100,7,1,0,0,8,9,9
383,204919-3-0-0,animal,2.09,44100,7,1,0,0,4,5,4
384,1-64398-A-41,exterior,5.0,44100,7,1,0,1,2,5,5
385,-PRrNx6_MD0_16,siren,9.039125,16000,3,0,1,1,9,8,9
